lat,long,subbasin
45.9952,-84.413,0a
45.9955,-84.4,0a
45.9958,-84.387,0a
45.9961,-84.374,0a
45.9871,-84.3736,0a
45.9874,-84.3606,0a
45.9783,-84.3602,0a
45.978,-84.3732,0a
45.9778,-84.3861,0a
45.9775,-84.3991,0a
45.9684,-84.3987,0a
45.9594,-84.3983,0a
45.9591,-84.4113,0a
45.9501,-84.4108,0a
45.9504,-84.3978,0a
45.9414,-84.3974,0a
45.9417,-84.3844,0a
45.9327,-84.384,0a
45.9329,-84.371,0a
45.942,-84.3715,0a
45.9423,-84.3585,0a
45.9332,-84.3581,0a
45.9335,-84.3451,0a
45.9338,-84.3321,0a
45.9428,-84.3325,0a
45.9519,-84.333,0a
45.9516,-84.3459,0a
45.9606,-84.3463,0a
45.9603,-84.3593,0a
45.96,-84.3723,0a
45.969,-84.3727,0a
45.9693,-84.3597,0a
45.9783,-84.3602,0a
45.9786,-84.3472,0a
45.9876,-84.3476,0a
45.9879,-84.3346,0a
45.997,-84.335,0a
45.9972,-84.322,0a
45.9975,-84.309,0a
45.9978,-84.2961,0a
45.9888,-84.2956,0a
45.9891,-84.2827,0a
45.9801,-84.2823,0a
45.971,-84.2818,0a
45.9713,-84.2689,0a
45.9803,-84.2693,0a
45.9806,-84.2563,0a
45.9809,-84.2433,0a
45.9812,-84.2303,0a
45.9814,-84.2173,0a
45.9817,-84.2043,0a
45.982,-84.1914,0a
45.973,-84.191,0a
45.9732,-84.178,0a
45.9735,-84.165,0a
45.9738,-84.152,0a
45.9741,-84.139,0a
45.9743,-84.126,0a
45.9746,-84.113,0a
45.9748,-84.1001,0a
45.9751,-84.0879,0a
45.9661,-84.0867,0a
45.9663,-84.0737,0a
45.9666,-84.0607,0a
45.9669,-84.0478,0a
45.9671,-84.0348,0a
45.9581,-84.0344,0a
45.9583,-84.0214,0a
45.9586,-84.0084,0a
45.9588,-83.9955,0a
45.9498,-83.9951,0a
45.9501,-83.9821,0a
45.9591,-83.9825,0a
45.9593,-83.9695,0a
45.9684,-83.9698,0a
45.9686,-83.9569,0a
45.9689,-83.9439,0a
45.9691,-83.9309,0a
45.9693,-83.9179,0a
45.9696,-83.9049,0a
45.9698,-83.8919,0a
45.9608,-83.8916,0a
45.961,-83.8786,0a
45.9701,-83.879,0a
45.9703,-83.866,0a
45.9705,-83.853,0a
45.9795,-83.8533,0a
45.9798,-83.8403,0a
45.9708,-83.84,0a
45.9617,-83.8397,0a
45.962,-83.8267,0a
45.9529,-83.8263,0a
45.9439,-83.826,0a
45.9442,-83.813,0a
45.9444,-83.8001,0a
45.9534,-83.8004,0a
45.9624,-83.8007,0a
45.9627,-83.7877,0a
45.9536,-83.7874,0a
45.9446,-83.7871,0a
45.9448,-83.7741,0a
45.9358,-83.7738,0a
45.936,-83.7608,0a
45.9451,-83.7611,0a
45.9541,-83.7614,0a
45.9543,-83.7485,0a
45.9545,-83.7355,0a
45.9455,-83.7352,0a
45.9365,-83.7348,0a
45.9367,-83.7219,0a
45.9369,-83.7089,0a
45.9371,-83.6959,0a
45.9373,-83.6829,0a
45.9376,-83.6699,0a
45.9378,-83.657,0a
